Class,FL_B,FL_A,VS,FL_B_3,FL_A_3,FL_B_12,FL_A_12,Container Type,Recyclable fraction
Non Emptying,50.1,21.5,2,61.8,57.5,63.5,22.7,Fiberglass Igloo-b,Mixed
Emptying,98,45.2,9,83.2,60.6,87,28.2,Cubic,Recyclable
Emptying,88.4,51.6,6,96,51.6,70.9,44.2,BIM-3 FTI bottentomd,Mixed
Non Emptying,66.3,34.5,1,60.4,54.6,33.3,30.5,Silvertop-b,Recyclable
Emptying,84.7,42.8,9,88.9,30.9,81.6,44.2,Fiberglass Igloo-a,Non Recyclable
Non Emptying,78.9,55.6,1,34,30.3,75.9,50,BIM-3 FTI bottentomd,Mixed
Emptying,94.8,42.6,6,83.3,36.2,69,54.9,Lindstrom City,Recyclable
Emptying,84.6,21.9,6,95.1,59.4,95.8,51.5,Fiberglass Igloo-a,Non Recyclable
Non Emptying,52.9,55.9,4,34.6,56.2,52.5,21.8,BIM-3 FTI bottentomd,Mixed
Emptying,72.7,25.8,8,95.1,22.4,62.6,24.7,Lindstrom City,Mixed
Non Emptying,76.5,26.4,3,52,24.1,57.3,54.7,Rectangular,Non Recyclable
Non Emptying,73.3,33.6,1,63,65.7,59.8,63.6,Lindstrom City,Recyclable
Emptying,71.2,31.3,6,92.5,31.9,84,31.8,Fiberglass Igloo-a,Recyclable
Emptying,83.5,30,9,86,44.8,86.6,33.7,Fiberglass Igloo-a,Non Recyclable
Non Emptying,55.5,36.7,5,74,51.5,52.2,55.5,Fiberglass Igloo-a,Non Recyclable
Non Emptying,54.3,60.9,3,51.3,57.6,56,63.1,Diamond,Recyclable
Emptying,94.6,40.1,7,63,52.8,98.3,32.9,Silvertop-a,Mixed
Emptying,61.4,44.1,9,80.3,51.4,83.6,56.9,Cubic,Mixed
Emptying,81.5,51.6,9,81.3,42.2,82.2,22.1,Rectangular Farmland,Recyclable
Emptying,78.6,57.9,6,95.6,49.2,82.4,63.5,Fiberglass Igloo-b,Recyclable
Emptying,98.4,52.2,7,62,35.2,81,43.7,Lindstrom-a,Recyclable
Emptying,75.8,42.4,6,80.8,59.5,87.2,32.9,Silvertop-a,Mixed
Emptying,89.8,25.4,8,61.3,52.7,82.7,32.4,Fiberglass Igloo-b,Mixed
Emptying,81.4,52.7,6,99.8,59.6,99.5,25.7,Cubic,Non Recyclable
Non Emptying,30.3,65,4,35,26.4,54.5,63.1,Lindstrom-a,Non Recyclable
Emptying,76,57.1,7,85.6,40.6,86.2,52.9,Fiberglass Igloo-a,Mixed
Emptying,66,34.2,6,70.6,47.8,92.1,54.1,Lindstrom-b,Non Recyclable
Non Emptying,53.1,51,2,62.2,58.7,63.4,61.2,Cubic,Recyclable
Emptying,84.1,32.6,6,70.7,50.8,70,57.6,Silvertop-a,Recyclable
Emptying,90.5,20.3,6,92.6,32.1,97.7,48.5,Lindstrom-a,Non Recyclable
Emptying,96,55.3,6,65.8,58.7,80.9,57.4,Diamond,Mixed
Non Emptying,58.4,58.1,2,66.9,36.7,52.7,56,Cubic,Recyclable
Emptying,95.8,67.3,6,85.9,47,91.2,49.3,Lindstrom-b,Mixed
Non Emptying,66.2,35,5,76.9,30.7,53.5,34.3,Lindstrom-a,Non Recyclable
Emptying,78.3,53.9,9,69.2,55.4,80.2,29.4,BIM-3 FTI bottentomd,Mixed
Emptying,90.4,49.5,9,91.9,33.3,80.2,52,Fiberglass Igloo-a,Non Recyclable
Emptying,76.8,47.4,7,61.2,52.9,81.9,34.5,Rectangular,Non Recyclable
Non Emptying,79.9,26.7,4,64.4,37.1,50.9,55.6,Fiberglass Igloo-a,Non Recyclable
Non Emptying,67.4,20.8,1,50.6,25.3,32.5,28.7,Malmobehallare,Mixed
Non Emptying,66.8,58.4,1,54.7,50.8,54.2,34.8,Silvertop-a,Non Recyclable
Non Emptying,54.6,52.3,4,61.1,38,55,54,Fiberglass Igloo-a,Recyclable
Non Emptying,72.9,51.1,2,57.4,64,33.2,68.9,Accordion,Mixed
Emptying,83.6,52.1,8,71,44.7,61.5,22.6,Cubic,Non Recyclable
Emptying,90,50.5,9,61.5,45.4,92.5,54.4,Lindstrom-a,Non Recyclable
Non Emptying,64.4,30.8,2,54.1,33.8,54.4,25.8,Lindstrom-b,Recyclable
Non Emptying,59.7,35.5,1,75.7,35.9,39.3,65.2,Fiberglass Igloo-b,Recyclable
Non Emptying,54.1,30.4,2,62.6,26,62.8,56.4,Lindstrom-b,Non Recyclable
Emptying,77.3,50.2,8,90.5,32.5,83.2,46.1,Lindstrom City,Mixed
Emptying,98.2,62.5,6,74.7,56.8,80.3,24.4,Rectangular,Recyclable
Non Emptying,54.4,50.2,3,61.5,39,33.2,22.2,Rectangular Farmland,Mixed
Emptying,96.8,49.7,9,81.5,58.7,60.2,49.9,Fiberglass Igloo-b,Recyclable
Emptying,62.7,28.7,7,60.9,20.5,85.7,36.3,Cubic,Mixed
Non Emptying,40,37.8,5,51.7,36.2,57.8,52.2,Fiberglass Igloo-a,Recyclable
Non Emptying,54.3,50.3,2,68.9,53.1,69.6,52,BIM-3 FTI bottentomd,Recyclable
Emptying,95.6,63.8,9,66.6,54.1,85,55.6,Diamond,Mixed
Non Emptying,52.8,32.2,2,53.8,21.7,57.9,57.6,Lindstrom City,Non Recyclable
Non Emptying,56,65.1,4,31.2,36.1,67.7,55.7,Lindstrom City,Recyclable
Non Emptying,63,56.5,4,32.9,27.1,50,60,Lindstrom-b,Recyclable
Emptying,83.1,42.8,6,96.2,47.8,98.1,56.2,Fiberglass Igloo-a,Recyclable
Non Emptying,67.1,33.2,2,63.3,57.9,65.7,51,Fiberglass Igloo-b,Non Recyclable
Emptying,87.6,64.9,8,89.4,56.4,91.3,65.6,BIM-3 FTI bottentomd,Non Recyclable
Emptying,80.1,62.4,6,95.4,66.5,86.5,28.1,Rectangular,Non Recyclable
Emptying,73.2,44.3,9,96.4,53.8,72.2,62.4,Rectangular,Non Recyclable
Non Emptying,54.3,37,5,50.7,33.8,54.5,63.7,Silvertop-a,Mixed
Emptying,77.4,42.1,6,69.8,61.6,89.8,52.4,Rectangular Farmland,Recyclable
Emptying,64.5,48.9,8,65.2,36.4,99,68.9,Lindstrom-b,Non Recyclable
Non Emptying,39.1,56.6,3,59.7,50.1,55.9,67.7,Diamond,Recyclable
Emptying,60,50.5,9,72.5,51.6,94.2,42.4,Malmobehallare,Recyclable
Non Emptying,67,53.7,1,55.6,51.5,51.9,20.9,Rectangular,Non Recyclable
Non Emptying,60.2,25,1,34.9,36.7,58.3,30.5,Lindstrom City,Recyclable
Non Emptying,58.7,36.9,5,52.4,32.3,73.7,37.7,Silvertop-a,Non Recyclable
Non Emptying,58.5,66.9,4,59.1,34.6,50,56.3,Malmobehallare,Recyclable
Non Emptying,53.5,35.8,3,59,63.4,57.6,51.6,Lindstrom City,Recyclable
Emptying,65.4,57.6,6,88.2,39.1,84.8,55,Rectangular,Mixed
Emptying,87.7,54,8,63.6,29.8,88,54.6,Silvertop-b,Non Recyclable
Non Emptying,39.9,50.5,2,31.8,35.6,57.3,38.2,Lindstrom-a,Non Recyclable
Emptying,83.1,41.2,6,81.7,44.8,71.8,30.3,Accordion,Mixed
Non Emptying,53.5,38.3,1,61.7,50.8,34.4,57,Fiberglass Igloo-b,Mixed
Emptying,95.5,53.4,7,80.9,41.9,87.5,25,Lindstrom-a,Mixed
Non Emptying,62.5,33.7,4,52,36.2,67.8,31.5,Lindstrom-b,Recyclable
Non Emptying,61.4,64.4,2,53.7,30.7,63.1,30.3,Cubic,Non Recyclable
Emptying,81.6,59.5,6,94.7,23.6,71.6,43.8,Rectangular,Recyclable
Emptying,89.4,50.4,6,71.3,53,92.4,59.6,Lindstrom-a,Mixed
Emptying,98,22.6,6,84.8,41.6,64.6,23.3,Rectangular,Non Recyclable
Non Emptying,67.2,37.8,4,65.2,25,37.8,31.3,Rectangular Farmland,Recyclable
Non Emptying,56.7,53,2,58.7,23.3,63.3,61.8,Silvertop-a,Mixed
Emptying,81.2,42.6,7,94,42.2,64,31.1,Rectangular,Mixed
Non Emptying,54.7,54.9,3,64.5,56.3,57.3,26.7,Lindstrom-a,Mixed
Non Emptying,33.9,61.6,4,60.7,31.1,55.4,53.1,Malmobehallare,Mixed
Non Emptying,61.2,37.5,5,30.3,56.2,51,36.1,Lindstrom-b,Non Recyclable
Emptying,71.6,22.9,6,90.4,50.4,61.2,47.9,Silvertop-b,Mixed
Non Emptying,51.8,64.3,4,60.3,36.5,50,31.9,Rectangular Farmland,Mixed
Non Emptying,61.5,50.6,1,53.1,55.2,56,53.9,Malmobehallare,Recyclable
Non Emptying,54.9,58.8,5,52.5,66,30.1,68.6,Fiberglass Igloo-a,Recyclable
Non Emptying,63,28.8,4,33.5,33.3,67,58.2,Fiberglass Igloo-b,Recyclable
Emptying,92.8,46.6,7,69.9,46.6,81.9,42.9,Rectangular Farmland,Recyclable
Non Emptying,51.2,60.7,1,50.8,32,38,50.7,Silvertop-b,Mixed
Emptying,86.4,62.7,6,86.9,63.6,99.4,52,BIM-3 FTI bottentomd,Non Recyclable
Non Emptying,63.2,62.1,1,70.3,26.5,61.9,68.1,Accordion,Non Recyclable
Non Emptying,73.5,54.8,5,50.6,20.9,62.7,54.7,Fiberglass Igloo-b,Non Recyclable
Emptying,84.6,42.1,6,67.3,59.2,92,56.1,Malmobehallare,Non Recyclable
Emptying,70.3,34.1,6,74.5,51.5,90.3,57,Lindstrom-b,Recyclable
Non Emptying,78.5,36.2,4,38.4,30.2,50.4,22.6,Diamond,Mixed
Emptying,95.4,55,6,85.5,69.3,89,33.8,Rectangular,Recyclable
Non Emptying,56.8,30.8,1,69.2,36.8,54.1,36.2,Fiberglass Igloo-b,Non Recyclable
Emptying,73,52.6,6,95.2,40.3,96.6,57.5,Diamond,Non Recyclable
Non Emptying,54.1,33.9,1,52,31.2,66.4,35.7,Rectangular,Non Recyclable
Emptying,81.8,35.8,9,87.2,35,89.7,55.5,Accordion,Non Recyclable
Non Emptying,65.9,27.1,4,68.5,54.7,60,31.8,Diamond,Non Recyclable
Non Emptying,52.1,38.6,2,53.8,51.6,69.4,50,Cubic,Non Recyclable
Non Emptying,52.3,62.3,3,54.5,31.1,50.4,62.2,Lindstrom-a,Non Recyclable
Emptying,69.4,69.1,8,84.4,43,66.5,30.1,Silvertop-a,Mixed
Emptying,67.4,49.3,8,83.4,33.3,67,34.3,BIM-3 FTI bottentomd,Recyclable
Emptying,91.6,49.5,7,98.8,59.5,99.3,59.3,Accordion,Recyclable
Non Emptying,57.4,62.9,3,37.4,32.9,60.2,23.9,Rectangular,Mixed
Non Emptying,77.4,54.7,4,68.8,54,59.9,33.9,Lindstrom City,Mixed
Non Emptying,37.7,54.1,3,51,30.4,33.6,66.1,Diamond,Non Recyclable
Emptying,82.9,57.9,6,70.2,55.4,84,53.1,Accordion,Non Recyclable
Non Emptying,58.7,50.4,2,65.3,30.7,62.3,30,Diamond,Mixed
Non Emptying,67.4,64.7,5,61.3,36.8,53.8,54.9,Silvertop-b,Mixed
Emptying,64.2,41.7,6,72.8,32,92.9,34.5,Accordion,Non Recyclable
Emptying,79.3,64.1,8,90.3,52.8,86.1,65,Diamond,Mixed
Non Emptying,69.1,51.3,5,30,29,56.1,30.4,BIM-3 FTI bottentomd,Non Recyclable
Non Emptying,74.9,51.1,3,74.3,51.3,39.2,56.9,Diamond,Mixed
Non Emptying,38.4,32,3,63.6,35.2,34.2,23.5,Lindstrom-a,Recyclable
Non Emptying,68.8,53.2,1,37.2,35.1,75.2,38.9,Fiberglass Igloo-a,Mixed
Non Emptying,36.3,21.3,1,52.2,52.7,75.9,56.4,Rectangular,Recyclable
Emptying,87.2,45.7,7,67,52.8,86,43.2,Cubic,Recyclable
Non Emptying,61.5,57.7,2,32.6,31.4,80,35.9,Accordion,Non Recyclable
Non Emptying,69,63.1,2,65.8,53.5,53.8,34.3,Lindstrom-a,Mixed
Non Emptying,63.2,57.6,5,56.2,38.6,34.4,35.4,Rectangular,Non Recyclable
Non Emptying,73.4,63.1,3,79.4,34.1,54.4,55.4,Fiberglass Igloo-a,Recyclable
Non Emptying,62.6,25.5,4,38.6,20.6,74.4,55.7,Rectangular,Non Recyclable
Non Emptying,69.8,52.1,5,68.2,34.7,62.4,31.6,Fiberglass Igloo-b,Non Recyclable
Emptying,70,52.5,6,60.4,42.5,60.4,69.4,Cubic,Non Recyclable
Non Emptying,50.5,23.8,3,66.8,57,40,51.8,Fiberglass Igloo-b,Mixed
Emptying,90.9,21.6,8,68.4,52.5,96.3,54.6,Rectangular,Non Recyclable
Emptying,66.7,56.2,6,74,45.7,89.7,59,Rectangular Farmland,Recyclable
Non Emptying,31.6,22.2,4,74.5,62.8,71.6,55.6,Lindstrom-a,Non Recyclable
Non Emptying,51.8,65.4,3,63.6,23.6,61.8,64.9,Rectangular Farmland,Recyclable
Non Emptying,61.1,33.5,3,34.7,53.5,51.1,66.5,Silvertop-a,Mixed
Non Emptying,61.8,53.3,2,77.3,58.8,31.6,56.5,Fiberglass Igloo-b,Non Recyclable
Emptying,61.2,64.1,6,80.7,33.5,69.2,58.9,Rectangular Farmland,Mixed
Emptying,93.7,34.4,8,92.4,32.6,99.5,59.8,BIM-3 FTI bottentomd,Mixed
Emptying,94.4,66.4,8,80.8,43.9,74.2,44.3,Silvertop-a,Mixed
Emptying,88.5,43,8,89.5,40.5,90.6,52.5,Fiberglass Igloo-a,Mixed
Non Emptying,59.5,31.7,3,64.2,54.1,60,58.3,Fiberglass Igloo-a,Non Recyclable
Emptying,87.9,53.3,8,89.9,51.8,84.6,49.7,Cubic,Recyclable
Emptying,67.9,64.5,6,90.6,50.6,73.4,43,Fiberglass Igloo-b,Mixed
Non Emptying,35.8,34.2,4,51.6,69,53.1,61.5,Rectangular Farmland,Mixed
Emptying,82.3,57.3,6,81.9,47.8,81.8,21.4,Silvertop-a,Non Recyclable
Non Emptying,54.4,52.8,3,67.8,65.3,62.1,65.8,Rectangular Farmland,Non Recyclable
Non Emptying,54,60.4,3,63.6,32.1,54,26.2,Lindstrom-a,Recyclable
Non Emptying,39.5,51.5,3,52.6,39,62.1,50.7,Lindstrom-a,Recyclable
Non Emptying,54.7,36.1,3,77.9,39,57.2,38.8,Fiberglass Igloo-a,Recyclable
Non Emptying,71.5,35.5,3,67.5,51,65.1,21.4,Silvertop-b,Recyclable
Emptying,63,28.6,8,89.6,25.5,82.3,43.1,Silvertop-a,Mixed
Non Emptying,53.6,27.7,5,52.1,30.5,72.3,21.1,Silvertop-b,Mixed
Non Emptying,60.1,56.4,5,61.7,31,65.8,31.2,Lindstrom City,Non Recyclable
Emptying,83.1,36.3,6,90.6,43.4,99.3,30.3,Silvertop-b,Non Recyclable
Emptying,84.5,59.8,8,82.6,55.6,92.6,20,Lindstrom City,Non Recyclable
Non Emptying,35.2,32.5,4,61.1,20.4,58.6,66.7,Lindstrom City,Mixed
Emptying,95,62,8,92.1,46.7,97.6,41.3,Silvertop-b,Non Recyclable
Emptying,76.3,29.1,9,84.5,42.1,83.5,41,BIM-3 FTI bottentomd,Mixed
Emptying,86.8,47.9,6,84.8,62.6,93.2,50.9,Rectangular,Non Recyclable
Emptying,66.7,58.3,6,72.8,41.1,82.6,48.1,Silvertop-b,Recyclable
Non Emptying,62.6,25.4,5,70,34.9,31.6,24.5,Rectangular Farmland,Non Recyclable
Emptying,60.6,68.6,8,60.2,61.3,92.3,67.6,BIM-3 FTI bottentomd,Recyclable
Non Emptying,37,67.3,5,52.6,64.5,52.1,22.9,Cubic,Mixed
Emptying,98.5,21,7,99.2,50.1,95.4,48.3,Rectangular Farmland,Non Recyclable
Emptying,90.5,59.1,9,71.1,39.4,84,51.8,Rectangular Farmland,Non Recyclable
Non Emptying,70.7,64.7,5,70.7,26.3,32.7,22.2,Fiberglass Igloo-b,Mixed
Emptying,60.3,42.5,6,73.1,41.4,98.5,52.5,Rectangular Farmland,Non Recyclable
Non Emptying,68.9,62.2,4,72.8,32.9,37.2,33.5,Rectangular,Recyclable
Non Emptying,61.4,62.5,2,53.7,56.7,63.2,30.7,Rectangular,Recyclable
Emptying,89.4,43.9,7,86.7,42.8,91.5,37.7,Fiberglass Igloo-b,Non Recyclable
Emptying,76.4,46.8,6,92.5,65.1,94.6,39,Diamond,Non Recyclable
Emptying,85.9,67.8,6,80,58,69.8,60.8,Lindstrom City,Mixed
Emptying,81.3,21.2,7,74.5,55.3,68,54,Malmobehallare,Non Recyclable
Emptying,61.3,33.1,6,70.5,50.1,72.4,44.8,Lindstrom City,Mixed
Emptying,68.3,33.6,6,82.9,23.1,72.6,66.8,Rectangular,Mixed
Non Emptying,63.7,21.3,2,70,23.8,62.5,33.1,Lindstrom City,Mixed
Non Emptying,71.1,55.2,4,52.1,30.5,62.9,36.5,Fiberglass Igloo-b,Recyclable
Emptying,87.9,59.2,7,93.1,55.7,98.3,60.4,Lindstrom-a,Mixed
Emptying,92.6,29.9,7,68.1,32,81,39.2,Fiberglass Igloo-a,Mixed
Emptying,88.5,47,8,97,44.8,83,55.6,Silvertop-a,Mixed
Non Emptying,53.2,66.9,5,76.1,28.4,70.3,56.3,BIM-3 FTI bottentomd,Recyclable
Emptying,81.7,22.2,7,77.5,27.8,81.4,51.9,Silvertop-b,Mixed
Non Emptying,66.6,57.9,5,59.4,30.2,60.4,63.3,Rectangular,Mixed
Non Emptying,68.6,21.6,4,55.8,61.7,62.4,33.3,Rectangular Farmland,Mixed
Non Emptying,32.4,36,1,36.2,34.2,68.5,37.4,Lindstrom-a,Mixed
Emptying,91.4,52.1,9,90.6,52.3,84.5,52.5,Lindstrom-a,Recyclable
Emptying,86,47.5,6,94.5,51.3,82.7,66.2,Accordion,Non Recyclable
Non Emptying,57.8,65.6,2,78.8,35.4,71.2,52.2,Lindstrom City,Mixed
Emptying,82.3,50.9,6,87,48.5,64.4,69.3,Cubic,Mixed
Emptying,95.2,39,9,61.3,57.5,87.7,38.3,Cubic,Recyclable
Non Emptying,50.6,56.2,3,68.2,23.3,38,66,Rectangular,Non Recyclable
Emptying,73.2,47.9,9,74.4,41.7,64,47.7,Cubic,Recyclable
Emptying,63.6,51.6,7,74.5,40.4,73.7,50.8,Cubic,Recyclable
Emptying,94.4,47,9,61.1,60.8,70.1,34.9,Rectangular Farmland,Recyclable
Non Emptying,60.1,53,5,71.8,56.6,57.1,55.4,Accordion,Recyclable
Non Emptying,39.4,52.4,1,33.1,20.4,63.1,57.5,Diamond,Non Recyclable
Emptying,64.5,68.8,6,98.3,59,81.4,61.8,Rectangular Farmland,Recyclable
Emptying,69.7,58.9,6,67.4,44.7,84.7,44.6,Accordion,Non Recyclable
Emptying,82.6,56.2,8,77.8,40.9,80.4,40.7,Silvertop-b,Non Recyclable
Emptying,93.8,20.4,6,79.5,37.8,90.1,32.7,Cubic,Recyclable
Emptying,81.2,51.5,6,85.4,56.7,60.3,35.2,Fiberglass Igloo-a,Recyclable
Emptying,80,48.2,6,85.8,48.5,84.9,46.9,Rectangular,Recyclable
Non Emptying,73.4,27.4,2,39,35.4,60.1,56.6,Accordion,Non Recyclable
Non Emptying,60,58,3,50.1,33.5,33.7,57.5,Silvertop-b,Mixed
Emptying,64.9,33.9,9,97,42.2,99.2,30.2,Accordion,Recyclable
Emptying,90,37.7,8,83.2,56.9,81,51,Silvertop-a,Non Recyclable
Non Emptying,70.4,26.5,1,50.2,57.6,38.2,50.1,Fiberglass Igloo-b,Recyclable
Non Emptying,62.4,34.9,3,52.1,35.9,50.3,26.3,Rectangular Farmland,Non Recyclable
Emptying,67.3,37.5,9,82.1,24,94.2,31,Lindstrom City,Non Recyclable
Non Emptying,70,32,1,53.3,32.7,55.8,21.2,Fiberglass Igloo-b,Mixed
Emptying,91.6,33.4,7,73.5,36.3,99.6,54.4,BIM-3 FTI bottentomd,Recyclable
Emptying,77.5,37.4,8,66.3,32,64.2,63.6,Cubic,Non Recyclable
Emptying,93.9,67.2,9,78,52.3,68.4,20.7,Fiberglass Igloo-a,Recyclable
Emptying,78.1,33.2,6,91,22.6,97.8,69.9,Rectangular Farmland,Recyclable
Emptying,95,27.4,9,72.7,59,83.1,42.7,Rectangular Farmland,Mixed
Emptying,68.3,47.3,6,92,41.5,70,21.6,Lindstrom-a,Recyclable
Emptying,65,44.4,9,88.7,39.3,98.8,30.3,Silvertop-a,Mixed
Non Emptying,59.2,24,2,74.8,66.6,33.6,24,Accordion,Non Recyclable
Emptying,78.5,53.5,9,96.5,65,93.5,31.4,Rectangular,Mixed
Emptying,80.3,27.8,6,75,60.5,83.7,43.2,Diamond,Recyclable
Non Emptying,32.3,24.2,5,63.3,62.2,61.1,21,Silvertop-a,Non Recyclable
Non Emptying,52.5,55.1,2,56.1,23.9,50.5,31,Accordion,Mixed
Emptying,94.1,54.2,7,84.5,46,93.2,51,Cubic,Mixed
Emptying,74.7,54.6,9,60,49.7,60.5,46.3,BIM-3 FTI bottentomd,Non Recyclable
Non Emptying,52.9,61.8,4,52.7,23.9,73.3,62.1,Rectangular Farmland,Recyclable
Emptying,84.2,56.1,6,88.8,62.3,99.3,59,Rectangular Farmland,Recyclable
Non Emptying,70.7,58.8,5,51,62.7,50.8,55.5,BIM-3 FTI bottentomd,Non Recyclable
Emptying,63.2,51.2,8,92.1,61.8,85.3,32.1,Cubic,Recyclable
Non Emptying,62.5,50.6,1,51.7,38.2,62.6,65.6,Fiberglass Igloo-b,Recyclable
Non Emptying,50,65,3,59,65.8,62.6,35.2,Fiberglass Igloo-b,Mixed
Non Emptying,54.1,56,1,38,64,52.8,28.5,Malmobehallare,Mixed
Emptying,97.5,20.7,7,89.5,65.4,93.4,50.1,Malmobehallare,Non Recyclable
Emptying,88,46.7,9,71.2,53.4,95.2,36,Silvertop-b,Recyclable
Non Emptying,31.2,36.5,5,36.1,63.7,50.1,25.3,Silvertop-b,Non Recyclable
Emptying,86.9,34.2,6,84.8,48.4,65.7,41.2,Lindstrom City,Recyclable
Non Emptying,63.7,56.3,2,79.8,33.7,78.9,34.3,BIM-3 FTI bottentomd,Non Recyclable
Non Emptying,61.9,32.4,3,30.9,24.2,50.9,20.4,Diamond,Non Recyclable
Non Emptying,50.2,32.7,2,52,36.4,58.1,50.9,Lindstrom City,Non Recyclable
Non Emptying,71.5,30.8,5,65.5,32.7,58.1,38.7,Malmobehallare,Recyclable
Emptying,84.7,54.9,6,86.2,23.6,75.4,65.8,Malmobehallare,Recyclable
Non Emptying,30.7,58,3,39.4,31.7,60.4,27.3,Lindstrom City,Non Recyclable
Non Emptying,69.1,26.6,2,65.7,66.8,60.7,54.2,Lindstrom-b,Mixed
Non Emptying,32.2,63.4,4,64.5,51.5,59.8,65.8,Cubic,Mixed
Non Emptying,69,37.5,4,36.5,62.5,62.9,31.6,BIM-3 FTI bottentomd,Non Recyclable
Non Emptying,34.5,56.6,3,69.2,37.5,51.2,32.9,Malmobehallare,Mixed
Non Emptying,71.4,50.1,4,62.3,36.4,57.8,31.3,Lindstrom-b,Recyclable
Emptying,97.6,52.8,6,91,43.3,78,52.2,Rectangular Farmland,Recyclable
Emptying,87.2,26.8,6,93.1,41.6,76.2,29.6,Lindstrom City,Mixed
Emptying,69,43.1,9,98,64.1,81.7,43.2,Cubic,Mixed
Non Emptying,64,30.6,3,57.2,32,74.6,32.6,Accordion,Mixed
Non Emptying,79.7,32.8,1,40,33.7,58.5,54.4,BIM-3 FTI bottentomd,Recyclable
Non Emptying,63.9,31.8,3,54.3,68.8,68.9,30.5,Diamond,Mixed
Emptying,73.3,39.9,8,81.7,20.6,60.4,65.1,Cubic,Non Recyclable
Non Emptying,51.9,66.6,4,61.1,58.2,53.7,22,Lindstrom-a,Non Recyclable
Emptying,94.9,44.1,9,95.1,57.9,79.8,63.5,Fiberglass Igloo-a,Recyclable
Emptying,81.1,56.4,6,93.9,44.7,84.8,43.2,Lindstrom City,Mixed
Emptying,66.1,50,6,82,56.6,96.8,50.4,Lindstrom-b,Mixed
Non Emptying,76.2,54.2,4,34.5,21,73.8,30.9,Malmobehallare,Recyclable
Emptying,86.4,32.3,6,99.4,49.1,93.8,57.8,Lindstrom City,Recyclable
Non Emptying,71.7,53.7,4,33.1,61,60.8,35.7,Rectangular,Non Recyclable
Non Emptying,79,24.3,2,74.1,51.9,36.8,54.7,Lindstrom-a,Recyclable
Non Emptying,54.6,52.9,3,61.7,68.5,61,55.5,Malmobehallare,Non Recyclable
Non Emptying,76.9,20,4,67.3,31.1,37.9,56.1,Malmobehallare,Non Recyclable
Non Emptying,62.2,60.5,4,55.3,60.1,53,31.5,Silvertop-a,Recyclable
Non Emptying,51.7,58.1,4,68.1,36,31.9,64.3,Cubic,Mixed
Non Emptying,57.3,24,5,59.9,66.2,61.1,34.8,Rectangular,Mixed
Non Emptying,72.3,54.5,3,38.8,50.2,52.1,55.3,Lindstrom City,Recyclable
Non Emptying,51.6,54.6,2,58,64,30.2,51.1,Rectangular Farmland,Non Recyclable
Non Emptying,74.4,53.9,4,63.1,38.2,69.7,22.5,Diamond,Mixed
Emptying,82.2,50.5,6,69.6,65.1,81.5,53.4,BIM-3 FTI bottentomd,Recyclable
Non Emptying,39.3,63.6,3,69.3,32,66.4,20.9,Cubic,Mixed
Emptying,91.9,67.3,9,83,41.6,87,66.4,BIM-3 FTI bottentomd,Non Recyclable
Emptying,72.6,54.2,8,68.4,51.9,94.2,54.6,Lindstrom City,Mixed
Emptying,65.1,50,7,91.1,42.6,86.7,56.4,Accordion,Recyclable
Emptying,69.4,25.9,7,99.5,47.4,84.1,50.7,Lindstrom-a,Recyclable
Emptying,90.8,30,6,88.9,52.2,91.2,36.8,Rectangular,Recyclable
Non Emptying,64.5,32.5,3,79.1,63.7,66,20.4,Cubic,Mixed
Emptying,77.1,47.7,9,78.6,25.3,64.9,59.6,Malmobehallare,Non Recyclable
Emptying,72.2,68.5,6,76.3,40.4,92.6,48.2,Fiberglass Igloo-a,Non Recyclable
Non Emptying,69.9,33.8,1,70.9,58.5,56.3,26.1,Fiberglass Igloo-a,Non Recyclable
Emptying,81,29.2,6,69.6,48,95.3,21.4,Malmobehallare,Recyclable
Non Emptying,67.9,50.6,2,75.6,35.9,58.6,33,Lindstrom-a,Mixed
Emptying,85.7,27.1,9,95.3,33.8,97.1,61.6,Lindstrom City,Recyclable
Non Emptying,78.7,31.9,3,67.8,27.6,60.8,53.1,Lindstrom City,Non Recyclable
Non Emptying,68.9,63.3,5,75.9,22.7,52.6,21.5,Silvertop-b,Recyclable
Emptying,93.2,47.6,7,84.6,59.8,76.5,63.8,BIM-3 FTI bottentomd,Non Recyclable
Non Emptying,72.2,34.6,5,30.5,66.2,63.9,57,Accordion,Recyclable
Emptying,94.6,64,9,99.8,50.6,85.8,57.2,Accordion,Non Recyclable
Emptying,98.6,44,8,93.3,55.4,79.2,53.6,Silvertop-a,Recyclable
Non Emptying,54.7,34.5,2,58,50.7,39.6,32.5,Rectangular,Non Recyclable
Non Emptying,76.6,25.4,1,52.5,31.4,63.9,31.8,Rectangular,Non Recyclable
Emptying,64.2,44.2,7,98.9,40.1,83.3,33.5,Lindstrom-a,Recyclable
Non Emptying,59.4,65,2,74.7,67,33,50.3,BIM-3 FTI bottentomd,Recyclable
Non Emptying,31.1,64.8,3,30.5,63.8,54.2,34.9,Fiberglass Igloo-a,Mixed
Emptying,91.7,44.8,7,91,58.5,85.2,26.9,Silvertop-a,Recyclable
Emptying,73.7,20.5,6,93.2,56.7,90.2,54.5,Fiberglass Igloo-b,Mixed
Non Emptying,56.4,53.3,5,58.8,38.5,34.7,36.7,Malmobehallare,Mixed
Emptying,87.5,52.9,6,60,59.7,60.4,36.5,Malmobehallare,Mixed
Emptying,98.1,51.1,7,87.4,54.6,74.1,58.8,Lindstrom-a,Mixed
